,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
t116,-2.0041094,-7.9843163,18.045515,34.179485,26.95961,-5.956206,-2.7959573,12.118197,17.945961,-2.3094978,16.172256,-4.3279524,-2.998376,22.455498,13.663797
t90,-2.006141,-7.9669433,18.159681,34.09546,26.766994,-6.0051556,-2.7661114,12.085586,18.033697,-2.3352578,16.298525,-4.3215375,-3.0300589,22.315317,13.612495
t122,-2.0667872,-8.0657625,19.72859,35.090244,27.711466,-6.0937824,-2.751217,12.0777445,18.37989,-2.2486854,15.097464,-4.43918,-3.4230168,20.859974,12.86883
t123,-2.0632827,-8.076575,19.712416,35.029575,27.705044,-6.1014414,-2.7522774,12.086431,18.471468,-2.2490575,15.061714,-4.436314,-3.4253724,20.868633,12.878135
t108,-2.043249,-8.079327,19.699556,35.152493,27.68594,-6.0932293,-2.757777,12.206881,18.327446,-2.283539,14.998146,-4.4485197,-3.4338193,20.968395,12.964777
t83,-2.0065389,-8.056842,19.335802,34.78048,28.117046,-5.9496274,-2.7198594,12.2513895,18.74009,-2.1772754,14.813178,-4.389883,-3.2717216,20.861137,12.859576
t84,-2.0155847,-8.088337,19.211103,34.89016,28.041107,-6.005348,-2.6787345,11.9354105,18.977932,-2.1829383,15.122312,-4.419428,-3.277425,20.849152,12.827263
t80,-2.0267513,-8.083503,19.33326,34.944748,28.052883,-5.9893217,-2.7473676,12.181514,18.815403,-2.185785,14.889797,-4.361398,-3.3157537,20.92493,12.713518
t102,-1.8258384,-7.8323007,18.403463,34.093025,26.810343,-5.762707,-2.5882692,12.266265,17.87968,-2.2574067,15.0598135,-4.256697,-3.031101,20.306452,12.640438
t103,-1.8990844,-8.050749,19.234745,35.18496,27.696342,-5.977556,-2.6508324,12.455829,18.630028,-2.2797976,15.192297,-4.4279046,-3.2112584,20.677452,12.84654
t13,-1.0421683,-6.2463613,12.990049,25.200699,20.254555,-4.1390166,-1.9716418,11.927474,13.340068,-2.258523,12.1308975,-3.020215,-1.9060996,16.22932,10.979668
t11,-1.0311193,-6.2749653,13.854772,25.0945,20.365948,-4.2389913,-1.882459,11.986144,14.071511,-2.2962503,11.317224,-3.124282,-2.1203341,15.640996,11.040519
t38,-1.5791517,-7.285564,18.361332,30.358746,24.830822,-5.370847,-2.1591828,12.465989,17.422901,-2.4290664,12.023563,-4.055658,-3.0447621,17.761356,12.207997
t66,-2.003208,-8.186763,21.966314,34.94476,28.605755,-6.316702,-2.417525,12.737047,20.471233,-2.483667,12.533709,-4.810092,-3.8798656,19.96991,13.281376
t112,-2.021976,-8.136378,21.9504,34.806496,28.43603,-6.3450265,-2.4407532,12.855275,20.392487,-2.5155914,12.79385,-4.805014,-3.8662555,19.936783,13.376694
