,accepted_species,Assigned_group,number_of_species_in_group
9464,Lomatogonium carinthiacum,Lomatogonium,2
9475,Lomatogonium rotatum,Lomatogonium,2
9480,Luculia pinceana,Luculia,1
9485,Macoubea guianensis,Macoubea,1
9487,Malouetia heudelotii,Malouetia,2
9489,Malouetia tamaquarina,Malouetia,2
9492,Mandevilla hirsuta,Mandevilla,5
9499,Mandevilla illustris,Mandevilla,5
9501,Mandevilla martiana,Mandevilla,5
9512,Mandevilla pavonii,Mandevilla,5
9518,Mandevilla pentlandiana,Mandevilla,5
9526,Marsdenia formosana,Marsdenia,7
9527,Marsdenia hainanensis,Marsdenia,7
9530,Marsdenia koi,Marsdenia,7
9533,Marsdenia oreophila,Marsdenia,7
9536,Marsdenia roylei,Marsdenia,7
9545,Marsdenia sinensis,Marsdenia,7
9547,Marsdenia tomentosa,Marsdenia,7
9585,Mascarenhasia arborescens,Mascarenhasia,1
9586,Matelea carolinensis,Matelea,2
9615,Matelea vailiana,Matelea,2
9617,Melanopsidium nigrum,Melanopsidium,1
9621,Melodinus acutiflorus,Melodinus,12
9623,Melodinus aeneus,Melodinus,12
9636,Melodinus australis,Melodinus,12
9641,Melodinus axillaris,Melodinus,12
9645,Melodinus balansae,Melodinus,12
9659,Melodinus cochinchinensis,Melodinus,12
9740,Melodinus fusiformis,Melodinus,12
9790,Melodinus orientalis,Melodinus,12
9791,Melodinus philliraeoides,Melodinus,12
9811,Melodinus reticulatus,Melodinus,12
9822,Melodinus scandens,Melodinus,12
9838,Melodinus tenuicaudatus,Melodinus,12
9856,Metagentiana rhodantha,Metagentiana,1
9890,Mexotis latifolia,Mexotis,1
9892,Microplumeria anomala,Microplumeria,1
9895,Mitchella repens,Mitchella,2
9902,Mitchella undulata,Mitchella,2
9903,Mitracarpus hirtus,Mitracarpus,1
9942,Mitragyna ciliata,Mitragyna,10
9943,Mitragyna diversifolia,Mitragyna,10
9952,Mitragyna hirsuta,Mitragyna,10
9971,Mitragyna inermis,Mitragyna,10
9999,Mitragyna parvifolia,Mitragyna,10
10010,Mitragyna rotundifolia,Mitragyna,10
10026,Mitragyna rubrostipulata,Mitragyna,10
10031,Mitragyna speciosa,Mitragyna,10
10077,Mitragyna stipulosa,Mitragyna,10
10094,Mitragyna tubulosa,Mitragyna,10
10098,Mondia whitei,Mondia,1
10123,Morinda angustifolia,Morinda,9
10131,Morinda citrifolia,Morinda,9
10325,Morinda coreia,Morinda,9
10344,Morinda elliptica,Morinda,9
10360,Morinda longiflora,Morinda,9
10363,Morinda lucida,Morinda,9
10387,Morinda morindoides,Morinda,9
10417,Morinda persicifolia,Morinda,9
10425,Morinda tomentosa,Morinda,9
10428,Mostuea brunonis,Mostuea,1
10444,Mussaenda hirsutissima,Mussaenda,5
10452,Mussaenda macrophylla,Mussaenda,5
10463,Mussaenda parviflora,Mussaenda,5
10467,Mussaenda pubescens,Mussaenda,5
10494,Mussaenda shikokiana,Mussaenda,5
10498,Mycetia nutans,Mycetia,1
10507,Nauclea diderrichii,Nauclea,6
10536,Nauclea latifolia,Nauclea,6
10548,Nauclea officinalis,Nauclea,6
10565,Nauclea orientalis,Nauclea,6
10593,Nauclea parva,Nauclea,6
10594,Nauclea pobeguinii,Nauclea,6
10602,Neolamarckia cadamba,Neolamarckia,1
10623,Neonauclea calycina,Neonauclea,4
10631,Neonauclea media,Neonauclea,4
10658,Neonauclea purpurea,Neonauclea,4
10674,Neonauclea sessilifolia,Neonauclea,4
10716,Nerium oleander,Nerium,1
10829,Nernstia mexicana,Nernstia,1
10836,Notopleura camponutans,Notopleura,1
10838,Ochrosia acuminata,Ochrosia,17
10848,Ochrosia alyxioides,Ochrosia,17
10856,Ochrosia balansae,Ochrosia,17
10859,Ochrosia borbonica,Ochrosia,17
10862,Ochrosia coccinea,Ochrosia,17
10864,Ochrosia compta,Ochrosia,17
10867,Ochrosia elliptica,Ochrosia,17
10886,Ochrosia glomerata,Ochrosia,17
10892,Ochrosia kilneri,Ochrosia,17
10897,Ochrosia lifuana,Ochrosia,17
10902,Ochrosia miana,Ochrosia,17
10904,Ochrosia moorei,Ochrosia,17
10926,Ochrosia mulsantii,Ochrosia,17
10928,Ochrosia oppositifolia,Ochrosia,17
10932,Ochrosia poweri,Ochrosia,17
10937,Ochrosia silvatica,Ochrosia,17
10940,Ochrosia vitiensis,Ochrosia,17
10945,Odontadenia semidigyna,Odontadenia,1
10947,Oldenlandia corymbosa,Oldenlandia,4
10968,Oldenlandia herbacea,Oldenlandia,4
10994,Oldenlandia lactea,Oldenlandia,4
10995,Oldenlandia umbellata,Oldenlandia,4
11000,Oncinotis tenuiloba,Oncinotis,1
11006,Ophiorrhiza acuminata,Ophiorrhiza,20
11009,Ophiorrhiza blumeana,Ophiorrhiza,20
11014,Ophiorrhiza bracteata,Ophiorrhiza,20
11016,Ophiorrhiza discolor,Ophiorrhiza,20
11018,Ophiorrhiza ferruginea,Ophiorrhiza,20
11021,Ophiorrhiza filistipula,Ophiorrhiza,20
11026,Ophiorrhiza hayatana,Ophiorrhiza,20
11033,Ophiorrhiza japonica,Ophiorrhiza,20
11040,Ophiorrhiza kunstleri,Ophiorrhiza,20
11043,Ophiorrhiza kuroiwae,Ophiorrhiza,20
11079,Ophiorrhiza longiflora,Ophiorrhiza,20
11080,Ophiorrhiza marginata,Ophiorrhiza,20
11081,Ophiorrhiza mungos,Ophiorrhiza,20
11085,Ophiorrhiza nutans,Ophiorrhiza,20
11086,Ophiorrhiza pectinata,Ophiorrhiza,20
11087,Ophiorrhiza pumila,Ophiorrhiza,20
11127,Ophiorrhiza rosacea,Ophiorrhiza,20
11128,Ophiorrhiza rosea,Ophiorrhiza,20
11129,Ophiorrhiza rugosa,Ophiorrhiza,20
11131,Ophiorrhiza shendurunii,Ophiorrhiza,20
11132,Orbea variegata,Orbea,1
11163,Orphium frutescens,Orphium,1
11168,Orthanthera viminea,Orthanthera,1
11171,Orthosia guilleminiana,Orthosia,1
11213,Oxyanthus pallidus,Oxyanthus,3
11215,Oxyanthus pyriformis,Oxyanthus,3
11218,Oxyanthus speciosus,Oxyanthus,3
11221,Oxyceros horridus,Oxyceros,1
11227,Oxystelma esculentum,Oxystelma,1
11240,Paederia foetida,Paederia,1
11273,Palicourea acuminata,Palicourea,24
11279,Palicourea adusta,Palicourea,24
11282,Palicourea alpina,Palicourea,24
11285,Palicourea colorata,Palicourea,24
11295,Palicourea coriacea,Palicourea,24
11305,Palicourea correae,Palicourea,24
11319,Palicourea crocea,Palicourea,24
11321,Palicourea croceoides,Palicourea,24
11322,Palicourea cyanococca,Palicourea,24
11325,Palicourea dichroa,Palicourea,24
11331,Palicourea elata,Palicourea,24
11332,Palicourea glomerulata,Palicourea,24
11335,Palicourea hoffmannseggiana,Palicourea,24
11338,Palicourea lasiantha,Palicourea,24
11352,Palicourea marcgravii,Palicourea,24
11354,Palicourea muscosa,Palicourea,24
11357,Palicourea padifolia,Palicourea,24
11359,Palicourea prunifolia,Palicourea,24
11360,Palicourea rigida,Palicourea,24
11361,Palicourea semirasa,Palicourea,24
11363,Palicourea sessilis,Palicourea,24
11364,Palicourea suerrensis,Palicourea,24
11365,Palicourea tsakiana,Palicourea,24
11368,Palicourea winkleri,Palicourea,24
11371,Parahancornia amara,Parahancornia,2
11377,Parahancornia fasciculata,Parahancornia,2
11384,Parepigynum funingense,Parepigynum,1
11400,Parsonsia alboflavescens,Parsonsia,4
11422,Parsonsia eucalyptophylla,Parsonsia,4
11423,Parsonsia heterophylla,Parsonsia,4
11424,Parsonsia straminea,Parsonsia,4
11425,Pauridiantha liebrechtsiana,Pauridiantha,2
11427,Pauridiantha paucinervis,Pauridiantha,2
11430,Pavetta indica,Pavetta,2
11437,Pavetta owariensis,Pavetta,2
11458,Pentagonia gigantifolia,Pentagonia,1
11461,Pentalinon andrieuxii,Pentalinon,2
11463,Pentalinon luteum,Pentalinon,2
11466,Pentanisia prunelloides,Pentanisia,1
11468,Pentas lanceolata,Pentas,3
11476,Pentas micrantha,Pentas,3
11478,Pentas suswaensis,Pentas,3
11483,Pergularia daemia,Pergularia,2
11488,Pergularia tomentosa,Pergularia,2
11515,Periploca aphylla,Periploca,6
11523,Periploca calophylla,Periploca,6
11527,Periploca forrestii,Periploca,6
11559,Periploca graeca,Periploca,6
11578,Periploca laevigata,Periploca,6
11592,Periploca sepium,Periploca,6
11678,Petchia ceylanica,Petchia,3
11691,Petchia erythrocarpa,Petchia,3
11698,Petchia madagascariensis,Petchia,3
11706,Picralima nitida,Picralima,1
11722,Pleiocarpa mutica,Pleiocarpa,2
11734,Pleiocarpa pycnantha,Pleiocarpa,2
11746,Plocama calabrica,Plocama,2
11768,Plocama pendula,Plocama,2
11820,Plumeria alba,Plumeria,3
11826,Plumeria obtusa,Plumeria,3
11885,Plumeria rubra,Plumeria,3
11995,Pogonopus speciosus,Pogonopus,2
12001,Pogonopus tubulosus,Pogonopus,2
12006,Posoqueria latifolia,Posoqueria,1
12008,Potalia amara,Potalia,1
12013,Prestonia amazonica,Prestonia,1
12014,Prismatomeris fragrans,Prismatomeris,3
12019,Prismatomeris sessiliflora,Prismatomeris,3
12021,Prismatomeris tetrandra,Prismatomeris,3
12033,Psychotria adenophylla,Psychotria,15
12037,Psychotria asiatica,Psychotria,15
12040,Psychotria bahiensis,Psychotria,15
12047,Psychotria brachyceras,Psychotria,15
12049,Psychotria calocarpa,Psychotria,15
12050,Psychotria horizontalis,Psychotria,15
12051,Psychotria leiocarpa,Psychotria,15
12052,Psychotria malayana,Psychotria,15
12054,Psychotria manillensis,Psychotria,15
12055,Psychotria milnei,Psychotria,15
12063,Psychotria nervosa,Psychotria,15
12064,Psychotria punctata,Psychotria,15
12065,Psychotria serpens,Psychotria,15
12069,Psychotria suterella,Psychotria,15
12072,Psychotria viridis,Psychotria,15
12078,Psydrax dicoccos,Psydrax,5
12080,Psydrax lividus,Psydrax,5
12085,Psydrax schimperianus,Psydrax,5
12088,Psydrax splendens,Psydrax,5
12089,Psydrax subcordatus,Psydrax,5
12097,Pyrostria major,Pyrostria,1
12108,Rauvolfia bahiensis,Rauvolfia,32
12123,Rauvolfia balansae,Rauvolfia,32
12135,Rauvolfia biauriculata,Rauvolfia,32
12143,Rauvolfia caffra,Rauvolfia,32
12179,Rauvolfia cambodiana,Rauvolfia,32
12185,Rauvolfia cubana,Rauvolfia,32
12191,Rauvolfia grandiflora,Rauvolfia,32
12198,Rauvolfia hookeri,Rauvolfia,32
12199,Rauvolfia ligustrina,Rauvolfia,32
12201,Rauvolfia linearifolia,Rauvolfia,32
12203,Rauvolfia littoralis,Rauvolfia,32
12211,Rauvolfia mannii,Rauvolfia,32
12242,Rauvolfia mattfeldiana,Rauvolfia,32
12246,Rauvolfia media,Rauvolfia,32
12251,Rauvolfia mombasiana,Rauvolfia,32
12261,Rauvolfia nitida,Rauvolfia,32
12269,Rauvolfia obscura,Rauvolfia,32
12271,Rauvolfia salicifolia,Rauvolfia,32
12280,Rauvolfia sandwicensis,Rauvolfia,32
12285,Rauvolfia schuelii,Rauvolfia,32
12286,Rauvolfia sellowii,Rauvolfia,32
12300,Rauvolfia semperflorens,Rauvolfia,32
12306,Rauvolfia serpentina,Rauvolfia,32
12392,Rauvolfia sevenetii,Rauvolfia,32
12397,Rauvolfia spathulata,Rauvolfia,32
12403,Rauvolfia sprucei,Rauvolfia,32
12409,Rauvolfia sumatrana,Rauvolfia,32
12423,Rauvolfia tetraphylla,Rauvolfia,32
12443,Rauvolfia verticillata,Rauvolfia,32
12471,Rauvolfia viridis,Rauvolfia,32
12473,Rauvolfia volkensii,Rauvolfia,32
12507,Rauvolfia vomitoria,Rauvolfia,32
12545,Rennellia elliptica,Rennellia,1
12558,Rhazya stricta,Rhazya,1
12615,Rhodopentas bussei,Rhodopentas,2
12625,Rhodopentas parvifolia,Rhodopentas,2
12627,Richardia brasiliensis,Richardia,3
12630,Richardia grandiflora,Richardia,3
12635,Richardia scabra,Richardia,3
12636,Ridsdalea wittii,Ridsdalea,1
12639,Rondeletia panamensis,Rondeletia,1
12642,Rosenbergiodendron formosum,Rosenbergiodendron,2
12656,Rosenbergiodendron longiflorum,Rosenbergiodendron,2
12658,Rothmannia globosa,Rothmannia,3
12670,Rothmannia longiflora,Rothmannia,3
12674,Rothmannia urcelliformis,Rothmannia,3
12676,Rubia alata,Rubia,10
12686,Rubia argyi,Rubia,10
12713,Rubia cordifolia,Rubia,10
12821,Rubia manjith,Rubia,10
12823,Rubia oncotricha,Rubia,10
12845,Rubia peregrina,Rubia,10
12847,Rubia schumanniana,Rubia,10
12851,Rubia tinctorum,Rubia,10
12899,Rubia wallichiana,Rubia,10
12942,Rubia yunnanensis,Rubia,10
13070,Rudgea jasminoides,Rudgea,2
13076,Rudgea viburnoides,Rudgea,2
13083,Ruehssia cundurango,Ruehssia,1
13089,Salzmannia nitida,Salzmannia,1
13090,Saprosma fragrans,Saprosma,2
13092,Saprosma scortechinii,Saprosma,2
13123,Sarcolobus globosus,Sarcolobus,1
13144,Schenkia spicata,Schenkia,1
13168,Schizozygia coffeoides,Schizozygia,1
13181,Schultesia guianensis,Schultesia,1
13184,Schumanniophyton magnificum,Schumanniophyton,2
13199,Schumanniophyton problematicum,Schumanniophyton,2
13208,Scleromitrion diffusum,Scleromitrion,3
13276,Scleromitrion tenelliflorum,Scleromitrion,3
13280,Scleromitrion verticillatum,Scleromitrion,3
13281,Scyphiphora hydrophylacea,Scyphiphora,1
13301,Secamone afzelii,Secamone,1
13317,Sherardia arvensis,Sherardia,1
13320,Simira eliezeriana,Simira,8
13325,Simira maxonii,Simira,8
13326,Simira mexicana,Simira,8
13328,Simira rubescens,Simira,8
13334,Simira rubra,Simira,8
13335,Simira salvadorensis,Simira,8
13337,Simira tinctoria,Simira,8
13343,Simira williamsii,Simira,8
13354,Singaporandia macrophylla,Singaporandia,1
13360,Sinomarsdenia incisa,Sinomarsdenia,1
13366,Skytanthus acutus,Skytanthus,1
13367,Solenandra mexicana,Solenandra,1
13380,Solenostemma arghel,Solenostemma,1
13431,Spermacoce alata,Spermacoce,9
13433,Spermacoce articularis,Spermacoce,9
13438,Spermacoce capitata,Spermacoce,9
13440,Spermacoce latifolia,Spermacoce,9
13447,Spermacoce ocymoides,Spermacoce,9
13454,Spermacoce pusilla,Spermacoce,9
13477,Spermacoce remota,Spermacoce,9
13478,Spermacoce tenuior,Spermacoce,9
13479,Spermacoce verticillata,Spermacoce,9
13491,Spigelia anthelmia,Spigelia,1
13495,Stapelia gigantea,Stapelia,2
13496,Stapelia hirsuta,Stapelia,2
13498,Stenostomum acreanum,Stenostomum,5
13508,Stenostomum acutatum,Stenostomum,5
13516,Stenostomum lucidum,Stenostomum,5
13520,Stenostomum portoricense,Stenostomum,5
13522,Stenostomum resinosum,Stenostomum,5
13524,Stephanotis floribunda,Stephanotis,2
13525,Stephanotis volubilis,Stephanotis,2
13551,Strempeliopsis strempelioides,Strempeliopsis,1
13575,Streptocaulon juventas,Streptocaulon,1
13598,Strophanthus boivinii,Strophanthus,10
13605,Strophanthus courmontii,Strophanthus,10
13607,Strophanthus divaricatus,Strophanthus,10
13621,Strophanthus eminii,Strophanthus,10
13628,Strophanthus gratus,Strophanthus,10
13635,Strophanthus hispidus,Strophanthus,10
13642,Strophanthus kombe,Strophanthus,10
13669,Strophanthus nicholsonii,Strophanthus,10
13671,Strophanthus sarmentosus,Strophanthus,10
13677,Strophanthus thollonii,Strophanthus,10
13678,Strumpfia maritima,Strumpfia,1
13693,Strychnos aculeata,Strychnos,89
13696,Strychnos afzelii,Strychnos,89
13700,Strychnos amazonica,Strychnos,89
13705,Strychnos angolensis,Strychnos,89
13721,Strychnos angustiflora,Strychnos,89
13735,Strychnos atlantica,Strychnos,89
13741,Strychnos axillaris,Strychnos,89
13781,Strychnos barnhartiana,Strychnos,89
13782,Strychnos barteri,Strychnos,89
13783,Strychnos boonei,Strychnos,89
13784,Strychnos brachiata,Strychnos,89
13785,Strychnos brasiliensis,Strychnos,89
13787,Strychnos camptoneura,Strychnos,89
13793,Strychnos castelnaeana,Strychnos,89
13795,Strychnos cathayensis,Strychnos,89
13807,Strychnos chrysophylla,Strychnos,89
13809,Strychnos cocculoides,Strychnos,89
13822,Strychnos congolana,Strychnos,89
13823,Strychnos dale,Strychnos,89
13828,Strychnos decussata,Strychnos,89
13839,Strychnos densiflora,Strychnos,89
13840,Strychnos diaboli,Strychnos,89
13841,Strychnos dinklagei,Strychnos,89
13845,Strychnos diplotricha,Strychnos,89
13852,Strychnos divaricans,Strychnos,89
13859,Strychnos dolichothyrsa,Strychnos,89
13873,Strychnos elaeocarpa,Strychnos,89
13878,Strychnos erichsonii,Strychnos,89
13881,Strychnos fendleri,Strychnos,89
13890,Strychnos floribunda,Strychnos,89
13891,Strychnos froesii,Strychnos,89
13894,Strychnos gardneri,Strychnos,89
13896,Strychnos gossweileri,Strychnos,89
13903,Strychnos guianensis,Strychnos,89
13924,Strychnos henningsii,Strychnos,89
13959,Strychnos hirsuta,Strychnos,89
13961,Strychnos icaja,Strychnos,89
14010,Strychnos ignatii,Strychnos,89
14026,Strychnos jobertiana,Strychnos,89
14029,Strychnos johnsonii,Strychnos,89
14055,Strychnos kasengaensis,Strychnos,89
14063,Strychnos ledermannii,Strychnos,89
14066,Strychnos longicaudata,Strychnos,89
14075,Strychnos lucens,Strychnos,89
14079,Strychnos lucida,Strychnos,89
14119,Strychnos madagascariensis,Strychnos,89
14123,Strychnos malacoclados,Strychnos,89
14124,Strychnos matopensis,Strychnos,89
14142,Strychnos mattogrossensis,Strychnos,89
14145,Strychnos medeola,Strychnos,89
14146,Strychnos melinoniana,Strychnos,89
14150,Strychnos mellodora,Strychnos,89
14160,Strychnos mimfiensis,Strychnos,89
14168,Strychnos minor,Strychnos,89
14171,Strychnos mitis,Strychnos,89
14176,Strychnos mitscherlichii,Strychnos,89
14180,Strychnos moandaensis,Strychnos,89
14181,Strychnos myrtoides,Strychnos,89
14190,Strychnos ngouniensis,Strychnos,89
14206,Strychnos nigritana,Strychnos,89
14208,Strychnos nitida,Strychnos,89
14210,Strychnos nux-blanda,Strychnos,89
14211,Strychnos nux-vomica,Strychnos,89
14289,Strychnos panamensis,Strychnos,89
14294,Strychnos panganensis,Strychnos,89
14304,Strychnos parvifolia,Strychnos,89
14305,Strychnos potatorum,Strychnos,89
14339,Strychnos pseudoquina,Strychnos,89
14347,Strychnos psilosperma,Strychnos,89
14352,Strychnos romeu-belenii,Strychnos,89
14353,Strychnos rondeletioides,Strychnos,89
14354,Strychnos rubiginosa,Strychnos,89
14357,Strychnos solimoesana,Strychnos,89
14360,Strychnos soubrensis,Strychnos,89
14363,Strychnos spinosa,Strychnos,89
14440,Strychnos splendens,Strychnos,89
14442,Strychnos staudtii,Strychnos,89
14447,Strychnos subcordata,Strychnos,89
14448,Strychnos tabascana,Strychnos,89
14450,Strychnos tchibangensis,Strychnos,89
14453,Strychnos toxifera,Strychnos,89
14466,Strychnos tricalysioides,Strychnos,89
14471,Strychnos trinervis,Strychnos,89
14480,Strychnos urceolata,Strychnos,89
14481,Strychnos usambarensis,Strychnos,89
14514,Strychnos vanprukii,Strychnos,89
14530,Strychnos variabilis,Strychnos,89
14559,Strychnos wallichiana,Strychnos,89
14585,Strychnos xantha,Strychnos,89
14596,Swertia alata,Swertia,50
14597,Swertia angustifolia,Swertia,50
14613,Swertia arisanensis,Swertia,50
14616,Swertia bimaculata,Swertia,50
14620,Swertia brownii,Swertia,50
14637,Swertia chirayita,Swertia,50
14674,Swertia cincta,Swertia,50
14678,Swertia connata,Swertia,50
14679,Swertia cordata,Swertia,50
14680,Swertia corymbosa,Swertia,50
14692,Swertia cuneata,Swertia,50
14693,Swertia davidii,Swertia,50
14698,Swertia decora,Swertia,50
14706,Swertia delavayi,Swertia,50
14710,Swertia densifolia,Swertia,50
14714,Swertia dilatata,Swertia,50
14722,Swertia diluta,Swertia,50
14728,Swertia erythrosticta,Swertia,50
14734,Swertia fasciculata,Swertia,50
14739,Swertia franchetiana,Swertia,50
14752,Swertia hickinii,Swertia,50
14753,Swertia hookeri,Swertia,50
14766,Swertia iberica,Swertia,50
14772,Swertia japonica,Swertia,50
14899,Swertia kouitchensis,Swertia,50
14913,Swertia lawii,Swertia,50
14918,Swertia leducii,Swertia,50
14939,Swertia longifolia,Swertia,50
14946,Swertia macrosperma,Swertia,50
14958,Swertia marginata,Swertia,50
14960,Swertia mileensis,Swertia,50
14988,Swertia mussotii,Swertia,50
14998,Swertia nervosa,Swertia,50
15009,Swertia paniculata,Swertia,50
15027,Swertia patens,Swertia,50
15031,Swertia perennis,Swertia,50
15046,Swertia petiolata,Swertia,50
15056,Swertia przewalskii,Swertia,50
15057,Swertia pseudochinensis,Swertia,50
15077,Swertia pubescens,Swertia,50
15086,Swertia punctata,Swertia,50
15098,Swertia punicea,Swertia,50
15132,Swertia purpurascens,Swertia,50
15147,Swertia racemosa,Swertia,50
15154,Swertia souliei,Swertia,50
15159,Swertia speciosa,Swertia,50
15174,Swertia swertopsis,Swertia,50
15182,Swertia tetrapetala,Swertia,50
15187,Swertia thomsonii,Swertia,50
15189,Swertia verticillifolia,Swertia,50
15191,Syringantha coulteri,Syringantha,1
15207,Tabernaemontana africana,Tabernaemontana,75
15239,Tabernaemontana alba,Tabernaemontana,75
15254,Tabernaemontana alternifolia,Tabernaemontana,75
15283,Tabernaemontana amygdalifolia,Tabernaemontana,75
15291,Tabernaemontana apoda,Tabernaemontana,75
15308,Tabernaemontana arborea,Tabernaemontana,75
15318,Tabernaemontana attenuata,Tabernaemontana,75
15334,Tabernaemontana aurantiaca,Tabernaemontana,75
15338,Tabernaemontana bovina,Tabernaemontana,75
15406,Tabernaemontana brachyantha,Tabernaemontana,75
15411,Tabernaemontana bufalina,Tabernaemontana,75
15432,Tabernaemontana calcarea,Tabernaemontana,75
15468,Tabernaemontana capuronii,Tabernaemontana,75
15470,Tabernaemontana catharinensis,Tabernaemontana,75
15526,Tabernaemontana cerifera,Tabernaemontana,75
15539,Tabernaemontana ciliata,Tabernaemontana,75
15548,Tabernaemontana citrifolia,Tabernaemontana,75
15570,Tabernaemontana coffeoides,Tabernaemontana,75
15619,Tabernaemontana contorta,Tabernaemontana,75
15627,Tabernaemontana coriacea,Tabernaemontana,75
15630,Tabernaemontana corymbosa,Tabernaemontana,75
15734,Tabernaemontana crassa,Tabernaemontana,75
15764,Tabernaemontana crassifolia,Tabernaemontana,75
15767,Tabernaemontana cymosa,Tabernaemontana,75
15820,Tabernaemontana debrayi,Tabernaemontana,75
15825,Tabernaemontana dichotoma,Tabernaemontana,75
15864,Tabernaemontana divaricata,Tabernaemontana,75
15990,Tabernaemontana donnell-smithii,Tabernaemontana,75
15991,Tabernaemontana eglandulosa,Tabernaemontana,75
16028,Tabernaemontana elegans,Tabernaemontana,75
16053,Tabernaemontana eusepala,Tabernaemontana,75
16058,Tabernaemontana eusepaloides,Tabernaemontana,75
16059,Tabernaemontana flavicans,Tabernaemontana,75
16074,Tabernaemontana glabra,Tabernaemontana,75
16084,Tabernaemontana glandulosa,Tabernaemontana,75
16098,Tabernaemontana grandiflora,Tabernaemontana,75
16115,Tabernaemontana heterophylla,Tabernaemontana,75
16136,Tabernaemontana humblotii,Tabernaemontana,75
16152,Tabernaemontana hystrix,Tabernaemontana,75
16187,Tabernaemontana inconspicua,Tabernaemontana,75
16196,Tabernaemontana laeta,Tabernaemontana,75
16223,Tabernaemontana laurifolia,Tabernaemontana,75
16226,Tabernaemontana litoralis,Tabernaemontana,75
16230,Tabernaemontana longipes,Tabernaemontana,75
16234,Tabernaemontana macrocalyx,Tabernaemontana,75
16241,Tabernaemontana macrocarpa,Tabernaemontana,75
16250,Tabernaemontana markgrafiana,Tabernaemontana,75
16269,Tabernaemontana mocquerysi,Tabernaemontana,75
16282,Tabernaemontana muricata,Tabernaemontana,75
16285,Tabernaemontana odoratissima,Tabernaemontana,75
16294,Tabernaemontana oppositifolia,Tabernaemontana,75
16298,Tabernaemontana pachysiphon,Tabernaemontana,75
16349,Tabernaemontana pandacaqui,Tabernaemontana,75
16391,Tabernaemontana pauciflora,Tabernaemontana,75
16396,Tabernaemontana peduncularis,Tabernaemontana,75
16403,Tabernaemontana penduliflora,Tabernaemontana,75
16411,Tabernaemontana persicariifolia,Tabernaemontana,75
16415,Tabernaemontana peschiera,Tabernaemontana,75
16419,Tabernaemontana polyneura,Tabernaemontana,75
16436,Tabernaemontana psorocarpa,Tabernaemontana,75
16447,Tabernaemontana retusa,Tabernaemontana,75
16460,Tabernaemontana robinsonii,Tabernaemontana,75
16466,Tabernaemontana rupicola,Tabernaemontana,75
16468,Tabernaemontana sananho,Tabernaemontana,75
16474,Tabernaemontana sessilifolia,Tabernaemontana,75
16486,Tabernaemontana siphilitica,Tabernaemontana,75
16507,Tabernaemontana solanifolia,Tabernaemontana,75
16521,Tabernaemontana sphaerocarpa,Tabernaemontana,75
16536,Tabernaemontana stapfiana,Tabernaemontana,75
16555,Tabernaemontana stellata,Tabernaemontana,75
16556,Tabernaemontana ternifolia,Tabernaemontana,75
16557,Tabernaemontana tomentosa,Tabernaemontana,75
16559,Tabernaemontana undulata,Tabernaemontana,75
16570,Tabernaemontana vanheurckii,Tabernaemontana,75
16587,Tabernaemontana ventricosa,Tabernaemontana,75
16596,Tabernanthe iboga,Tabernanthe,1
16616,Tamilnadia uliginosa,Tamilnadia,1
16632,Tarenna asiatica,Tarenna,5
16633,Tarenna attenuata,Tarenna,5
16697,Tarenna ebracteata,Tarenna,5
16707,Tarenna gracilipes,Tarenna,5
16719,Tarenna vanprukii,Tarenna,5
16720,Telosma pallida,Telosma,2
16726,Telosma procumbens,Telosma,2
16744,Thevetia ahouai,Thevetia,1
16757,Thiollierea montana,Thiollierea,1
16759,Timonius kaniensis,Timonius,2
16761,Timonius timon,Timonius,2
16764,Tinadendron noumeanum,Tinadendron,1
16771,Tocoyena bullata,Tocoyena,2
16772,Tocoyena formosa,Tocoyena,2
16788,Trachelospermum asiaticum,Trachelospermum,4
16860,Trachelospermum axillare,Trachelospermum,4
16874,Trachelospermum jasminoides,Trachelospermum,4
16915,Trachelospermum lucidum,Trachelospermum,4
16921,Tricalysia okelensis,Tricalysia,1
16923,Tripterospermum chinense,Tripterospermum,4
16931,Tripterospermum lanceolatum,Tripterospermum,4
16950,Tripterospermum taiwanense,Tripterospermum,4
16956,Tripterospermum trinervium,Tripterospermum,4
16985,Uncaria acida,Uncaria,27
16987,Uncaria africana,Uncaria,27
16992,Uncaria attenuata,Uncaria,27
17009,Uncaria bernaysii,Uncaria,27
17011,Uncaria borneensis,Uncaria,27
17017,Uncaria callophylla,Uncaria,27
17032,Uncaria canescens,Uncaria,27
17034,Uncaria cordata,Uncaria,27
17038,Uncaria elliptica,Uncaria,27
17068,Uncaria gambir,Uncaria,27
17088,Uncaria guianensis,Uncaria,27
17102,Uncaria hirsuta,Uncaria,27
17124,Uncaria homomalla,Uncaria,27
17130,Uncaria laevigata,Uncaria,27
17133,Uncaria lancifolia,Uncaria,27
17137,Uncaria lanosa,Uncaria,27
17152,Uncaria longiflora,Uncaria,27
17162,Uncaria macrophylla,Uncaria,27
17173,Uncaria orientalis,Uncaria,27
17180,Uncaria perrottetii,Uncaria,27
17181,Uncaria rhynchophylla,Uncaria,27
17237,Uncaria scandens,Uncaria,27
17241,Uncaria sessilifructus,Uncaria,27
17245,Uncaria sinensis,Uncaria,27
17273,Uncaria sterrophylla,Uncaria,27
17274,Uncaria tomentosa,Uncaria,27
17328,Uncaria velutina,Uncaria,27
17333,Urceola laevigata,Urceola,3
17343,Urceola micrantha,Urceola,3
17352,Urceola rosea,Urceola,3
