,accepted_family,Genus,accepted_species,accepted_species_w_author
4707,Rubiaceae,Damnacanthus,Damnacanthus major,Damnacanthus major Siebold & Zucc.
4717,Rubiaceae,Damnacanthus,Damnacanthus officinarum,Damnacanthus officinarum C.C.Huang
4718,Rubiaceae,Debia,Debia ovatifolia,Debia ovatifolia (Cav.) Neupane & N.Wikstr.
4722,Apocynaceae,Decalepis,Decalepis hamiltonii,Decalepis hamiltonii Wight & Arn.
4730,Rubiaceae,Deppea,Deppea blumenaviensis,Deppea blumenaviensis (K.Schum.) Lorence
4731,Apocynaceae,Desmidorchis,Desmidorchis flava,Desmidorchis flava (N.E.Br.) Meve & Liede
4733,Apocynaceae,Desmidorchis,Desmidorchis penicillata,Desmidorchis penicillata (Deflers) Plowes
4739,Apocynaceae,Desmidorchis,Desmidorchis retrospiciens,Desmidorchis retrospiciens Ehrenb.
4762,Rubiaceae,Dimetia,Dimetia capitellata,Dimetia capitellata (Wall. ex G.Don) Neupane & N.Wikstr.
4777,Rubiaceae,Dimetia,Dimetia hedyotidea,Dimetia hedyotidea (DC.) T.C.Hsu
4787,Rubiaceae,Dimetia,Dimetia scandens,Dimetia scandens (Roxb.) R.J.Wang
4793,Rubiaceae,Dioecrescis,Dioecrescis erythroclada,Dioecrescis erythroclada (Kurz) Tirveng.
4800,Apocynaceae,Diplorhynchus,Diplorhynchus condylocarpon,Diplorhynchus condylocarpon (Müll.Arg.) Pichon
4803,Rubiaceae,Diplospora,Diplospora dubia,Diplospora dubia (Lindl.) Masam.
4857,Rubiaceae,Diplospora,Diplospora fruticosa,Diplospora fruticosa Hemsl.
4870,Apocynaceae,Dischidanthus,Dischidanthus thyrsiflorus,"Dischidanthus thyrsiflorus (Hook.f.) S.Reuss, Liede & Meve"
4885,Apocynaceae,Dischidia,Dischidia formosana,Dischidia formosana Maxim.
4895,Rubiaceae,Diyaminauclea,Diyaminauclea zeylanica,Diyaminauclea zeylanica (Hook.f.) Ridsdale
4896,Rubiaceae,Dolichopentas,Dolichopentas longiflora,Dolichopentas longiflora (Oliv.) Kårehed & B.Bremer
4908,Rubiaceae,Dunnia,Dunnia sinensis,Dunnia sinensis Tutcher
4910,Rubiaceae,Duroia,Duroia hirsuta,Duroia hirsuta (Poepp.) K.Schum.
4916,Apocynaceae,Dyera,Dyera costulata,Dyera costulata (Miq.) Hook.f.
4920,Apocynaceae,Echites,Echites panduratus,Echites panduratus A.DC.
4921,Rubiaceae,Emmenopterys,Emmenopterys henryi,Emmenopterys henryi Oliv.
4923,Gentianaceae,Enicostema,Enicostema axillare,Enicostema axillare (Poir. ex Lam.) A.Raynal
4925,Gentianaceae,Enicostema,Enicostema verticillatum,Enicostema verticillatum (L.) Engl.
4926,Rubiaceae,Eumachia,Eumachia forsteriana,"Eumachia forsteriana (A.Gray) Barrabé, C.M.Taylor & Razafim."
4936,Rubiaceae,Eumachia,Eumachia frutescens,"Eumachia frutescens (C.T.White) Barrabé, C.M.Taylor & Razafim."
4940,Rubiaceae,Eumachia,Eumachia leptothyrsa,"Eumachia leptothyrsa (Miq.) Barrabé, C.M.Taylor & Razafim."
4941,Rubiaceae,Eumachia,Eumachia lyciiflora,"Eumachia lyciiflora (Baill.) Barrabé, C.M.Taylor & Razafim."
4946,Rubiaceae,Eumachia,Eumachia montana,Eumachia montana (Blume) I.M.Turner
4948,Rubiaceae,Eumachia,Eumachia oleoides,"Eumachia oleoides (Baill.) Barrabé, C.M.Taylor & Razafim."
4958,Rubiaceae,Eumachia,Eumachia rostrata,Eumachia rostrata (Blume) I.M.Turner
4966,Gentianaceae,Eustoma,Eustoma russellianum,Eustoma russellianum (Hook.) G.Don
4988,Gentianaceae,Exacum,Exacum affine,Exacum affine Balf.f. ex Regel
4993,Gentianaceae,Exacum,Exacum tetragonum,Exacum tetragonum Roxb.
4994,Rubiaceae,Exallage,Exallage auricularia,Exallage auricularia (L.) Bremek.
4999,Rubiaceae,Exallage,Exallage chrysotricha,Exallage chrysotricha (Palib.) Neupane & N.Wikstr.
5004,Rubiaceae,Exostema,Exostema acuminatum,Exostema acuminatum Urb.
5011,Rubiaceae,Exostema,Exostema caribaeum,Exostema caribaeum (Jacq.) Schult.
5023,Rubiaceae,Fadogia,Fadogia ancylantha,Fadogia ancylantha Schweinf.
5031,Gentianaceae,Fagraea,Fagraea auriculata,Fagraea auriculata Jack
5034,Gentianaceae,Fagraea,Fagraea berteroana,Fagraea berteroana A.Gray ex Benth.
5037,Gentianaceae,Fagraea,Fagraea blumei,Fagraea blumei G.Don
5048,Gentianaceae,Fagraea,Fagraea ceilanica,Fagraea ceilanica Thunb.
5054,Gentianaceae,Fagraea,Fagraea gracilipes,Fagraea gracilipes A.Gray
5063,Rubiaceae,Faramea,Faramea guianensis,Faramea guianensis (Aubl.) Bremek.
5065,Rubiaceae,Faramea,Faramea multiflora,Faramea multiflora A.Rich. ex DC.
5067,Rubiaceae,Faramea,Faramea occidentalis,Faramea occidentalis (L.) A.Rich.
5077,Rubiaceae,Feretia,Feretia apodanthera,Feretia apodanthera Delile
5083,Apocynaceae,Forsteronia,Forsteronia refracta,Forsteronia refracta Müll.Arg.
5086,Gentianaceae,Frasera,Frasera albicaulis,Frasera albicaulis Griseb.
5089,Gentianaceae,Frasera,Frasera albomarginata,Frasera albomarginata S.Watson
5096,Gentianaceae,Frasera,Frasera caroliniensis,Frasera caroliniensis Walter
5100,Gentianaceae,Frasera,Frasera speciosa,Frasera speciosa Douglas ex Griseb.
5106,Apocynaceae,Funastrum,Funastrum clausum,Funastrum clausum (Jacq.) Schltr.
5110,Apocynaceae,Funtumia,Funtumia africana,Funtumia africana (Benth.) Stapf
5112,Apocynaceae,Funtumia,Funtumia elastica,Funtumia elastica (Preuss) Stapf
5120,Rubiaceae,Galianthe,Galianthe thalictroides,Galianthe thalictroides (K.Schum.) E.L.Cabral
5130,Rubiaceae,Galium,Galium aegeum,Galium aegeum (Stoj. & Kitan.) Ancev
5138,Rubiaceae,Galium,Galium album,Galium album Mill.
5154,Rubiaceae,Galium,Galium aparine,Galium aparine L.
5176,Rubiaceae,Galium,Galium glaucum,Galium glaucum L.
5178,Rubiaceae,Galium,Galium heldreichii,Galium heldreichii Halácsy
5184,Rubiaceae,Galium,Galium humifusum,Galium humifusum M.Bieb.
5191,Rubiaceae,Galium,Galium hypocarpium,Galium hypocarpium (L.) Endl. ex Griseb.
5193,Rubiaceae,Galium,Galium lovcense,Galium lovcense Urum.
5205,Rubiaceae,Galium,Galium macedonicum,Galium macedonicum Krendl
5214,Rubiaceae,Galium,Galium maximoviczii,Galium maximoviczii (Kom.) Pobed.
5217,Rubiaceae,Galium,Galium melanantherum,Galium melanantherum Boiss.
5224,Rubiaceae,Galium,Galium mirum,Galium mirum Rech.f.
5232,Rubiaceae,Galium,Galium mollugo,Galium mollugo L.
5265,Rubiaceae,Galium,Galium odoratum,Galium odoratum (L.) Scop.
5283,Rubiaceae,Galium,Galium palustre,Galium palustre L.
5286,Rubiaceae,Galium,Galium rhodopeum,Galium rhodopeum Velen.
5298,Rubiaceae,Galium,Galium rivale,Galium rivale (Sm.) Griseb.
5316,Rubiaceae,Galium,Galium rubioides,Galium rubioides L.
5323,Rubiaceae,Galium,Galium semiamictum,Galium semiamictum Klokov
5325,Rubiaceae,Galium,Galium sinaicum,Galium sinaicum (Delile ex Decne.) Boiss.
5363,Rubiaceae,Galium,Galium spurium,Galium spurium L.
5375,Rubiaceae,Galium,Galium tricornutum,Galium tricornutum Dandy
5377,Rubiaceae,Galium,Galium triflorum,Galium triflorum Michx.
5378,Rubiaceae,Galium,Galium verum,Galium verum L.
5428,Rubiaceae,Gardenia,Gardenia aubryi,Gardenia aubryi Vieill.
5440,Rubiaceae,Gardenia,Gardenia carinata,Gardenia carinata Wall. ex Roxb.
5449,Rubiaceae,Gardenia,Gardenia collinsiae,Gardenia collinsiae Craib
5450,Rubiaceae,Gardenia,Gardenia coronaria,Gardenia coronaria Banks
5454,Rubiaceae,Gardenia,Gardenia crameri,Gardenia crameri Tirveng.
5457,Rubiaceae,Gardenia,Gardenia erubescens,Gardenia erubescens Stapf & Hutch.
5458,Rubiaceae,Gardenia,Gardenia fosbergii,Gardenia fosbergii Tirveng.
5459,Rubiaceae,Gardenia,Gardenia gordonii,Gardenia gordonii Baker
5461,Rubiaceae,Gardenia,Gardenia grievei,Gardenia grievei Horne ex Baker
5462,Rubiaceae,Gardenia,Gardenia gummifera,Gardenia gummifera L.f.
5469,Rubiaceae,Gardenia,Gardenia hillii,Gardenia hillii Horne ex Baker
5471,Rubiaceae,Gardenia,Gardenia imperialis,Gardenia imperialis K.Schum.
5474,Rubiaceae,Gardenia,Gardenia jasminoides,Gardenia jasminoides J.Ellis
5625,Rubiaceae,Gardenia,Gardenia latifolia,Gardenia latifolia Aiton
5634,Rubiaceae,Gardenia,Gardenia obtusifolia,Gardenia obtusifolia Roxb. ex Hook.f.
5646,Rubiaceae,Gardenia,Gardenia oudiepe,Gardenia oudiepe Vieill.
5657,Rubiaceae,Gardenia,Gardenia resinifera,Gardenia resinifera Roth
5673,Rubiaceae,Gardenia,Gardenia saxatilis,Gardenia saxatilis E.T.Geddes
5679,Rubiaceae,Gardenia,Gardenia sootepensis,Gardenia sootepensis Hutch.
5695,Rubiaceae,Gardenia,Gardenia storckii,Gardenia storckii Oliv.
5700,Rubiaceae,Gardenia,Gardenia taitensis,Gardenia taitensis DC.
5701,Rubiaceae,Gardenia,Gardenia ternifolia,Gardenia ternifolia Schumach. & Thonn.
5703,Rubiaceae,Gardenia,Gardenia thailandica,Gardenia thailandica Tirveng.
5714,Rubiaceae,Gardenia,Gardenia tubifera,Gardenia tubifera Wall.
5733,Rubiaceae,Gardenia,Gardenia urvillei,Gardenia urvillei Montrouz.
5738,Loganiaceae,Gardneria,Gardneria angustifolia,Gardneria angustifolia Wall.
5741,Loganiaceae,Gardneria,Gardneria multiflora,Gardneria multiflora Makino
5750,Loganiaceae,Gardneria,Gardneria nutans,Gardneria nutans Siebold & Zucc.
5756,Loganiaceae,Gardneria,Gardneria ovata,Gardneria ovata Wall.
5772,Apocynaceae,Geissospermum,Geissospermum argenteum,Geissospermum argenteum Woodson
5776,Apocynaceae,Geissospermum,Geissospermum laeve,Geissospermum laeve (Vell.) Miers
5792,Apocynaceae,Geissospermum,Geissospermum sericeum,Geissospermum sericeum Miers
5805,Gelsemiaceae,Gelsemium,Gelsemium elegans,Gelsemium elegans (Gardner & Champ.) Benth.
5915,Gelsemiaceae,Gelsemium,Gelsemium rankinii,Gelsemium rankinii Small
5934,Gelsemiaceae,Gelsemium,Gelsemium sempervirens,Gelsemium sempervirens (L.) J.St.-Hil.
5984,Loganiaceae,Geniostoma,Geniostoma antherotrichum,Geniostoma antherotrichum Gilg & Gilg-Ben.
5987,Rubiaceae,Genipa,Genipa americana,Genipa americana L.
6011,Rubiaceae,Genipa,Genipa spruceana,Genipa spruceana Steyerm.
6041,Gentianaceae,Gentiana,Gentiana acaulis,Gentiana acaulis L.
6059,Gentianaceae,Gentiana,Gentiana algida,Gentiana algida Pall.
6093,Gentianaceae,Gentiana,Gentiana andrewsii,Gentiana andrewsii Griseb.
6094,Gentianaceae,Gentiana,Gentiana aquatica,Gentiana aquatica L.
6096,Gentianaceae,Gentiana,Gentiana argentea,Gentiana argentea (Royle ex D.Don) Royle ex D.Don
6099,Gentianaceae,Gentiana,Gentiana arisanensis,Gentiana arisanensis Hayata
6114,Gentianaceae,Gentiana,Gentiana asclepiadea,Gentiana asclepiadea L.
6134,Gentianaceae,Gentiana,Gentiana bavarica,Gentiana bavarica L.
6138,Gentianaceae,Gentiana,Gentiana brachyphylla,Gentiana brachyphylla Vill.
6166,Gentianaceae,Gentiana,Gentiana burseri,Gentiana burseri Lapeyr.
6171,Gentianaceae,Gentiana,Gentiana cephalantha,Gentiana cephalantha Franch.
6173,Gentianaceae,Gentiana,Gentiana crassa,Gentiana crassa Kurz
6211,Gentianaceae,Gentiana,Gentiana crassicaulis,Gentiana crassicaulis Duthie ex Burkill
6226,Gentianaceae,Gentiana,Gentiana cruciata,Gentiana cruciata L.
6233,Gentianaceae,Gentiana,Gentiana dahurica,Gentiana dahurica Fisch.
6256,Gentianaceae,Gentiana,Gentiana davidi,Gentiana davidi Franch.
6273,Gentianaceae,Gentiana,Gentiana decumbens,Gentiana decumbens L.f.
6280,Gentianaceae,Gentiana,Gentiana depressa,Gentiana depressa D.Don
6292,Gentianaceae,Gentiana,Gentiana elwesii,Gentiana elwesii C.B.Clarke
6297,Gentianaceae,Gentiana,Gentiana formosa,Gentiana formosa Harry Sm.
6298,Gentianaceae,Gentiana,Gentiana gelida,Gentiana gelida M.Bieb.
6305,Gentianaceae,Gentiana,Gentiana kauffmanniana,Gentiana kauffmanniana Regel & Schmalh.
6307,Gentianaceae,Gentiana,Gentiana kirilowii,Gentiana kirilowii Turcz.
6308,Gentianaceae,Gentiana,Gentiana kurroo,Gentiana kurroo Royle
6316,Gentianaceae,Gentiana,Gentiana lawrencei,Gentiana lawrencei Burkill
6323,Gentianaceae,Gentiana,Gentiana linearis,Gentiana linearis Froel.
6334,Gentianaceae,Gentiana,Gentiana loureiroi,Gentiana loureiroi (G.Don) Griseb.
6349,Gentianaceae,Gentiana,Gentiana lutea,Gentiana lutea L.
6481,Gentianaceae,Gentiana,Gentiana macrophylla,Gentiana macrophylla Pall.
6531,Gentianaceae,Gentiana,Gentiana makinoi,Gentiana makinoi Kusn.
6532,Gentianaceae,Gentiana,Gentiana manshurica,Gentiana manshurica Kitag.
6542,Gentianaceae,Gentiana,Gentiana nivalis,Gentiana nivalis L.
6546,Gentianaceae,Gentiana,Gentiana officinalis,Gentiana officinalis Harry Sm.
6552,Gentianaceae,Gentiana,Gentiana olgae,Gentiana olgae Regel & Schmalh.
6554,Gentianaceae,Gentiana,Gentiana olivieri,Gentiana olivieri Griseb.
6577,Gentianaceae,Gentiana,Gentiana pannonica,Gentiana pannonica Scop.
6581,Gentianaceae,Gentiana,Gentiana pedicellata,Gentiana pedicellata (D.Don) Griseb.
6601,Gentianaceae,Gentiana,Gentiana piasezkii,Gentiana piasezkii Maxim.
6602,Gentianaceae,Gentiana,Gentiana prolata,Gentiana prolata Balf.f.
6607,Gentianaceae,Gentiana,Gentiana prostrata,Gentiana prostrata Haenke
6610,Gentianaceae,Gentiana,Gentiana punctata,Gentiana punctata L.
6620,Gentianaceae,Gentiana,Gentiana purpurea,Gentiana purpurea L.
6627,Gentianaceae,Gentiana,Gentiana pyrenaica,Gentiana pyrenaica L.
6636,Gentianaceae,Gentiana,Gentiana robusta,Gentiana robusta King ex Hook.f.
6638,Gentianaceae,Gentiana,Gentiana rostanii,Gentiana rostanii Reut. ex Verlot
6640,Gentianaceae,Gentiana,Gentiana scabra,Gentiana scabra Bunge
6681,Gentianaceae,Gentiana,Gentiana septemfida,Gentiana septemfida Pall.
6690,Gentianaceae,Gentiana,Gentiana sikkimensis,Gentiana sikkimensis C.B.Clarke
6695,Gentianaceae,Gentiana,Gentiana sino-ornata,Gentiana sino-ornata Balf.f.
6701,Gentianaceae,Gentiana,Gentiana siphonantha,Gentiana siphonantha Maxim. ex Kusn.
6712,Gentianaceae,Gentiana,Gentiana spathacea,Gentiana spathacea Kunth
6713,Gentianaceae,Gentiana,Gentiana straminea,Gentiana straminea Maxim.
6766,Gentianaceae,Gentiana,Gentiana taliensis,Gentiana taliensis Balf.f. & Forrest
6771,Gentianaceae,Gentiana,Gentiana terglouensis,Gentiana terglouensis Hacq.
6773,Gentianaceae,Gentiana,Gentiana thunbergii,Gentiana thunbergii (G.Don) Griseb.
6798,Gentianaceae,Gentiana,Gentiana tibetica,Gentiana tibetica King ex Hook.f.
6818,Gentianaceae,Gentiana,Gentiana triflora,Gentiana triflora Pall.
6844,Gentianaceae,Gentiana,Gentiana urnula,Gentiana urnula Harry Sm.
6845,Gentianaceae,Gentiana,Gentiana utriculosa,Gentiana utriculosa L.
6852,Gentianaceae,Gentiana,Gentiana verna,Gentiana verna L.
6874,Gentianaceae,Gentianella,Gentianella alborosea,Gentianella alborosea (Gilg) Fabris
6875,Gentianaceae,Gentianella,Gentianella amarella,Gentianella amarella (L.) Börner
6890,Gentianaceae,Gentianella,Gentianella austriaca,Gentianella austriaca (A.Kern. & Jos.Kern.) Holub
6894,Gentianaceae,Gentianella,Gentianella azurea,Gentianella azurea (Bunge) Holub
6905,Gentianaceae,Gentianella,Gentianella bellidifolia,Gentianella bellidifolia (Hook.f.) Holub
6908,Gentianaceae,Gentianella,Gentianella bulgarica,Gentianella bulgarica (Velen.) Holub
6914,Gentianaceae,Gentianella,Gentianella campestris,Gentianella campestris (L.) Börner
6950,Gentianaceae,Gentianella,Gentianella caucasea,Gentianella caucasea (Lodd. ex Sims) Holub
6952,Gentianaceae,Gentianella,Gentianella florida,Gentianella florida (Griseb.) Holub
6958,Gentianaceae,Gentianella,Gentianella germanica,Gentianella germanica (Willd.) Börner
6970,Gentianaceae,Gentianella,Gentianella magellanica,Gentianella magellanica (Gaudich.) Fabris
6974,Gentianaceae,Gentianella,Gentianella multicaulis,Gentianella multicaulis (Gillies ex Griseb.) Fabris
6976,Gentianaceae,Gentianella,Gentianella nitida,Gentianella nitida (Griseb.) Fabris
6993,Gentianaceae,Gentianella,Gentianella ramosa,Gentianella ramosa (Hegetschw.) Holub
6995,Gentianaceae,Gentianella,Gentianella selaginifolia,Gentianella selaginifolia (Griseb.) Fabris
6996,Gentianaceae,Gentianella,Gentianella serotina,Gentianella serotina (Cockayne) T.N.Ho & S.W.Liu
7021,Gentianaceae,Gentianella,Gentianella turkestanorum,Gentianella turkestanorum (Gand.) Holub
7026,Gentianaceae,Gentianopsis,Gentianopsis barbata,Gentianopsis barbata (Froel.) Ma
7053,Gentianaceae,Gentianopsis,Gentianopsis barbellata,Gentianopsis barbellata (Engelm.) Iltis
7078,Gentianaceae,Gentianopsis,Gentianopsis ciliata,Gentianopsis ciliata (L.) Ma
7103,Gentianaceae,Gentianopsis,Gentianopsis crinita,Gentianopsis crinita (Froel.) Ma
7126,Gentianaceae,Gentianopsis,Gentianopsis detonsa,Gentianopsis detonsa (Rottb.) Ma
7151,Gentianaceae,Gentianopsis,Gentianopsis grandis,Gentianopsis grandis Ma
7176,Gentianaceae,Gentianopsis,Gentianopsis lanceolata,Gentianopsis lanceolata (Benth.) Iltis
7201,Gentianaceae,Gentianopsis,Gentianopsis paludosa,Gentianopsis paludosa (Hook.f.) Ma
7237,Gentianaceae,Gentianopsis,Gentianopsis simplex,Gentianopsis simplex (A.Gray) Iltis
7262,Gentianaceae,Gentianopsis,Gentianopsis thermalis,Gentianopsis thermalis (Kuntze) Iltis
7287,Gentianaceae,Gentianopsis,Gentianopsis virgata,Gentianopsis virgata (Raf.) Holub
7289,Apocynaceae,Gomphocarpus,Gomphocarpus fruticosus,Gomphocarpus fruticosus (L.) W.T.Aiton
7313,Apocynaceae,Gomphocarpus,Gomphocarpus physocarpus,Gomphocarpus physocarpus E.Mey.
7315,Apocynaceae,Gomphocarpus,Gomphocarpus sinaicus,Gomphocarpus sinaicus Boiss.
7336,Apocynaceae,Gongronemopsis,Gongronemopsis tenacissima,"Gongronemopsis tenacissima (Roxb.) S.Reuss, Liede & Meve"
7372,Apocynaceae,Gonioma,Gonioma kamassi,Gonioma kamassi E.Mey.
7375,Apocynaceae,Gonioma,Gonioma malagasy,Gonioma malagasy Markgr. & Boiteau
7387,Rubiaceae,Guettarda,Guettarda angelica,Guettarda angelica Mart. ex Müll.Arg.
7398,Rubiaceae,Guettarda,Guettarda grazielae,Guettarda grazielae M.R.Barbosa
7400,Rubiaceae,Guettarda,Guettarda heterosepala,Guettarda heterosepala Guillaumin
7402,Rubiaceae,Guettarda,Guettarda platypoda,Guettarda platypoda DC.
7421,Rubiaceae,Guettarda,Guettarda pohliana,Guettarda pohliana Müll.Arg.
7422,Rubiaceae,Guettarda,Guettarda speciosa,Guettarda speciosa L.
7424,Rubiaceae,Guettarda,Guettarda trimera,Guettarda trimera Guillaumin
7426,Rubiaceae,Guettardella,Guettardella putaminosa,Guettardella putaminosa (F.Muell.) Benth.
7429,Apocynaceae,Gymnema,Gymnema sylvestre,Gymnema sylvestre (Retz.) R.Br. ex Sm.
7553,Rubiaceae,Gynochthodes,Gynochthodes jasminoides,Gynochthodes jasminoides (A.Cunn.) Razafim. & B.Bremer
7555,Rubiaceae,Gynochthodes,Gynochthodes officinalis,Gynochthodes officinalis (F.C.How) Razafim. & B.Bremer
7603,Rubiaceae,Gynochthodes,Gynochthodes parvifolia,Gynochthodes parvifolia (Bartl. ex DC.) Razafim. & B.Bremer
7616,Rubiaceae,Gynochthodes,Gynochthodes umbellata,Gynochthodes umbellata (L.) Razafim. & B.Bremer
7628,Gentianaceae,Halenia,Halenia asclepiadea,Halenia asclepiadea (Kunth) G.Don
7629,Gentianaceae,Halenia,Halenia corniculata,Halenia corniculata (L.) Cornaz
7654,Gentianaceae,Halenia,Halenia elata,Halenia elata Wedd.
7661,Gentianaceae,Halenia,Halenia elliptica,Halenia elliptica D.Don
7696,Rubiaceae,Hamelia,Hamelia magnifolia,Hamelia magnifolia Wernham
7697,Rubiaceae,Hamelia,Hamelia patens,Hamelia patens Jacq.
7709,Apocynaceae,Hancornia,Hancornia speciosa,Hancornia speciosa Gomes
7712,Apocynaceae,Haplophyton,Haplophyton cimicidum,Haplophyton cimicidum A.DC.
7726,Apocynaceae,Haplophyton,Haplophyton crooksii,Haplophyton crooksii (L.D.Benson) L.D.Benson
7736,Rubiaceae,Hedyotis,Hedyotis acutangula,Hedyotis acutangula Champ. ex Benth.
7739,Rubiaceae,Hedyotis,Hedyotis fruticosa,Hedyotis fruticosa L.
7742,Rubiaceae,Hedyotis,Hedyotis lawsoniae,Hedyotis lawsoniae Wight & Arn.
7778,Rubiaceae,Hedyotis,Hedyotis pruinosa,Hedyotis pruinosa Wight & Arn.
7781,Rubiaceae,Heinsia,Heinsia crinita,Heinsia crinita (Wennberg) G.Taylor
7784,Gentianaceae,Helia,Helia alata,Helia alata (Aubl.) Kuntze
7788,Gentianaceae,Helia,Helia alba,Helia alba (Spruce ex Progel) Kuntze
7821,Apocynaceae,Hemidesmus,Hemidesmus indicus,Hemidesmus indicus (L.) R.Br.
7844,Rubiaceae,Heterophyllaea,Heterophyllaea pustulata,Heterophyllaea pustulata Hook.f.
7858,Apocynaceae,Heterostemma,Heterostemma brownii,Heterostemma brownii Hayata
7867,Rubiaceae,Himalrandia,Himalrandia tetrasperma,Himalrandia tetrasperma (Wall. ex Roxb.) T.Yamaz.
7876,Apocynaceae,Himatanthus,Himatanthus articulatus,Himatanthus articulatus (Vahl) Woodson
7901,Apocynaceae,Himatanthus,Himatanthus bracteatus,Himatanthus bracteatus (A.DC.) Woodson
7903,Apocynaceae,Himatanthus,Himatanthus drasticus,Himatanthus drasticus (Mart.) Plumel
7909,Apocynaceae,Himatanthus,Himatanthus phagedaenicus,Himatanthus phagedaenicus (Mart.) Woodson
7912,Rubiaceae,Hintonia,Hintonia latiflora,Hintonia latiflora (Sessé & Moc. ex DC.) Bullock
7932,Rubiaceae,Hintonia,Hintonia standleyana,Hintonia standleyana Bullock
7949,Rubiaceae,Hoffmannia,Hoffmannia strigillosa,Hoffmannia strigillosa Hemsl.
7970,Apocynaceae,Holarrhena,Holarrhena congolensis,Holarrhena congolensis Stapf
7972,Apocynaceae,Holarrhena,Holarrhena curtisii,Holarrhena curtisii King & Gamble
7979,Apocynaceae,Holarrhena,Holarrhena floribunda,Holarrhena floribunda (G.Don) T.Durand & Schinz
8001,Apocynaceae,Holarrhena,Holarrhena mitis,Holarrhena mitis (Vahl) R.Br. ex Roem. & Schult.
8002,Apocynaceae,Holarrhena,Holarrhena pubescens,Holarrhena pubescens Wall. ex G.Don
8068,Apocynaceae,Hoodia,Hoodia currorii,Hoodia currorii (Hook.) Decne.
8075,Apocynaceae,Hoodia,Hoodia gordonii,Hoodia gordonii (Masson) Sweet ex Decne.
8117,Apocynaceae,Hoodia,Hoodia ruschii,Hoodia ruschii Dinter
8124,Gentianaceae,Hoppea,Hoppea dichotoma,Hoppea dichotoma Willd.
8131,Gentianaceae,Hoppea,Hoppea fastigiata,Hoppea fastigiata (Griseb.) C.B.Clarke
8133,Apocynaceae,Hoya,Hoya australis,Hoya australis R.Br. ex J.Traill
8191,Apocynaceae,Hoya,Hoya bandaensis,Hoya bandaensis Schltr.
8212,Apocynaceae,Hoya,Hoya bella,Hoya bella Hook.
8233,Apocynaceae,Hoya,Hoya carnosa,Hoya carnosa (L.f.) R.Br.
8272,Apocynaceae,Hoya,Hoya cinnamomifolia,Hoya cinnamomifolia Hook.
8293,Apocynaceae,Hoya,Hoya coronaria,Hoya coronaria Blume
8314,Apocynaceae,Hoya,Hoya diversifolia,Hoya diversifolia Blume
8335,Apocynaceae,Hoya,Hoya fraterna,Hoya fraterna Blume
8356,Apocynaceae,Hoya,Hoya imperialis,Hoya imperialis Lindl.
8377,Apocynaceae,Hoya,Hoya lacunosa,Hoya lacunosa Blume
8398,Apocynaceae,Hoya,Hoya latifolia,Hoya latifolia G.Don
8419,Apocynaceae,Hoya,Hoya longifolia,Hoya longifolia Wall. ex Wight
8440,Apocynaceae,Hoya,Hoya multiflora,Hoya multiflora Blume
8461,Apocynaceae,Hoya,Hoya naumannii,Hoya naumannii Schltr.
8466,Apocynaceae,Hoya,Hoya obovata,Hoya obovata Decne.
8487,Apocynaceae,Hoya,Hoya ovalifolia,Hoya ovalifolia Wight & Arn.
8506,Apocynaceae,Hoya,Hoya shepherdii,Hoya shepherdii Short ex Hook.
8527,Apocynaceae,Hoya,Hoya tsangii,Hoya tsangii C.M.Burton
8552,Apocynaceae,Hunteria,Hunteria camerunensis,Hunteria camerunensis K.Schum. ex Hallier f.
8557,Apocynaceae,Hunteria,Hunteria congolana,Hunteria congolana Pichon
8570,Apocynaceae,Hunteria,Hunteria umbellata,Hunteria umbellata (K.Schum.) Hallier f.
8606,Apocynaceae,Hunteria,Hunteria zeylanica,Hunteria zeylanica (Retz.) Gardner ex Thwaites
8656,Rubiaceae,Hydnophytum,Hydnophytum formicarum,Hydnophytum formicarum Jack
8661,Rubiaceae,Hymenodictyon,Hymenodictyon floribundum,Hymenodictyon floribundum (Hochst. & Steud.) B.L.Rob.
8669,Rubiaceae,Hymenodictyon,Hymenodictyon orixense,Hymenodictyon orixense (Roxb.) Mabb.
8694,Apocynaceae,Ichnocarpus,Ichnocarpus frutescens,Ichnocarpus frutescens (L.) W.T.Aiton
8697,Rubiaceae,Isertia,Isertia haenkeana,Isertia haenkeana DC.
8718,Rubiaceae,Isertia,Isertia hypoleuca,Isertia hypoleuca Benth.
8723,Rubiaceae,Isertia,Isertia pittieri,Isertia pittieri (Standl.) Standl.
8730,Gentianaceae,Ixanthus,Ixanthus viscosus,Ixanthus viscosus (Aiton) Griseb.
8736,Rubiaceae,Ixora,Ixora chinensis,Ixora chinensis Lam.
8741,Rubiaceae,Ixora,Ixora coccinea,Ixora coccinea L.
8779,Rubiaceae,Ixora,Ixora finlaysoniana,Ixora finlaysoniana Wall. ex G.Don
8781,Rubiaceae,Ixora,Ixora foetida,Ixora foetida (L.f.) Fosberg
8782,Rubiaceae,Ixora,Ixora javanica,Ixora javanica (Blume) DC.
8785,Rubiaceae,Ixora,Ixora pavetta,Ixora pavetta Andrews
8786,Rubiaceae,Ixora,Ixora undulata,Ixora undulata Roxb. ex Sm.
8799,Apocynaceae,Jasminanthes,Jasminanthes mucronata,Jasminanthes mucronata (Blanco) W.D.Stevens & P.T.Li
8824,Rubiaceae,Keetia,Keetia multiflora,Keetia multiflora (Schumach. & Thonn.) Bridson
